"Allergens  Menu Items                                                                                                   Salt located on tables contain Salt, Dextrose, Potassium Iodide, Sodium Bicarbonate, Yellow Prussiate of Soda.  Salt used in kitchen is  Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda].   Mycoprotein is a old.(member of the fungi family. There have been rare cases of allergic reactin to products that contain Mycoprotein. Quorn™ is a Mycoprotein produced using a fermentation process very similar to brewing; the solid is harvested as opposed to the liquid. Processed in a facility that handles milk.                                     ",,Egg,Fish/ Shellfish,"Nitrites, Nitrate, Sodium Erythrobate, Carrageenan ",Corn in original form,"Corn Syrup, Corn Flour or meal, Corn Starch",Corn oil,Corn Variations,Vinegar,Milk/Dairy,MSG,Soybean  Oil,Soy Lecithin,Soy,Tree Nuts/Peanuts,Peanut oil,Capers,Sesame,"Wheat, Barley, Rye, Oats","Lima,lentil, Fava,                   black eyed peas,             garbanzo beans ",Mushroom, Yeast or Spice Extract ,Hydrolyzed Protein,Yeast,Nonorganic Cane Sugar,White Rice,Brown Rice,White Potato all forms,Mint,Cinnamon,Fruit,Cucumber,Tomato,Natural Flavor,Sunflower oil,Sunflower Lecithin,Sunflower Seed,Garlic,Onion,Bell Pepper,Turmeric,Mustard,Cocoa or Chocolate,Red Dye,Yellow Dye,Alcohol,Pork,Chicken,Beef,Turkey,Phenylketonurics,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,
         Allergy Alerts                                                                                                                                                                                                                                      All deep fried items have cross contact risk                                                                    (All pasta has possible cross-contact w/eggs in manufacture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]used in all areas.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desserts available on purple Cart in Home area for Gluten Free and Top 8 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Sizzle%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Taco Shells and Bowls are Fried. All fried items have Cross contact with other allergens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Casa Del Sol%,,,,,,All Fried Items fried in same fryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasoned Pita Chips,,,,,,,,X,,X,,X,,,,,,,X,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,"Kronos Central Product 6” Handmade White Pita [Wheat Flour Enriched ([Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Malted Barley Flour), Water, Soybean Oil, Yeast, Salt, Vital Wheat Gluten, Dough Conditioner (Mono-Diglycerides, Calcium Sulfate, Guar Gum, Wheat Starch, Sodium Metabisulfite And Ascorbic Acid), Oat Fiber, Sugar, Preservatives (Calcium Propionate, Fumaric Acid)], Roseli Imported Argentina Grated Parmesan Cheese [Imported Parmesan Cheese (Pasteurized Part-Skim Cow's Milk, Cheese Cultures, Salt, Enzymes), Powdered Cellulose Added to Prevent Caking, Natamycin (A Natural Mold Inhibitor)], Monarch Garlic Powder (Dehydrated Garlic), Parsley. Contains: Milk, Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,Tomato,,,,,,,,,,,,,,,,,,,,,,,,
Onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Onion,,,,,,,,,,,,,,,,,,,,,,,,
Weekly Menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday: Stuffed Croatian Peppers ,,X,,,,,,,,,X,X,,X,,,,,X,,,,,X,,,,,,,citric acid,,X,X,,,,X,X,X,,,,,,,,,,,,"Green and Red Bell Pepper, Egg, Kronos Halal Beef Gyro Cone [Beef, Water, Breadcrumbs, (Bleached Wheat Flour, Water, Salt, & Yeast, May Contain Soybean Oil, Calcium Propionate), Soy Protein Concentrate, Contains Less Than 2% of Salt, Spices, Garlic & Onion Powder, Monosodium Glutamate. Contains Soy and Wheat], Monarch-D Lightly Seasoned Tomato Sauce [Tomatoes, less than 2% of: Salt, Onion Powder, Garlic Powder, Citric Acid, Natural Flavors], Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda (Anti-Caking Agent)], Black Pepper, Monarch Spanish Paprika [Paprika and less than 2% Silicon Dioxide to Prevent Caking], Ground Coriander. Contains: Soy and Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Tuesday: Portuguese Garlic Shrimp,,,shrimp,,,,,X,apple cider,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,"Roseli Canola/Extra Virgin Olive Oil, Tulkoff Food Products Garlic in Oil [Garlic, Water, Soybean Oil, Phosphoric Acid Preservative. Contains: Naturally Occurring Sulfites], Crushed Red Pepper, #3349715 Harbor Banks 31-40 White Peeled-&-Deveined Tail-Off Shrimp [Shrimp, Water, Sodium Carbonate, Sodium Citrate (To Retain Moisture), Salt. Contains: Crustacean Shellfish (Shrimp)], Monarch Spanish Paprika [Paprika and less than 2% Silicon Dioxide to Prevent Caking], Monarch 5% acidity apple Cide Vinegar [Pure Apple Cider Vinegar, Water], Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda (Anti-Caking Agent)], #577148 Thirster Reconstituted Lemon Juice [Filtered Water, Lemon Juice Concentrate, Sodium Bisulfite (Preservative), Sodium Benzoate (Preservative) and Lemon Oil], Black Pepper, Parsley]. Contains: Shrimp, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Wednesday:  Tandoori Chicken ,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,"lemon,",,,,,,,,,,X,,,,,,,X,,,,"Halal Chicken Thighs (Natural Boneless Skinless Breast), Marinade [Roseli Canola/Extra Virgin Olive Oil, Ground Coriander, Ground Cumin, Ground Turmeric, Cayenne Pepper, Woodland Foods Garam Masala [Spices (including Cumin, Coriander, Cinnamon, Cardamom), Turmeric, Canola Oil], Monarch Spanish Paprika [Paprika and less than 2% Silicon Dioxide to Prevent Caking], Glenview Farms FF Plain Greek Yogurt [Cultured Pasteurized Nonfat Grade A Milk. Contains the Following Live Cultures: Lactobacillus Bulgaricus, Streptococcus Thermophilus, Lactobacillus Acidophilus, Bifidus, Lactobacillus Casei. Contains: Milk], #577148 Thirster Reconstituted Lemon Juice [Filtered Water, Lemon Juice Concentrate, Sodium Bisulfite (Preservative), Sodium Benzoate (Preservative) and Lemon Oil], Tulkoff Garlic in Oil [Garlic, Water, Soybean Oil, Phosphoric Acid. Contains: Naturally Occurring Sulfites], Ground Ginger, Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda (Anti-Caking Agent)] Contains: Milk, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Thursday: Ratatouille ,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,X,,,,,,,,,,,,"Yellow Onion, Roseli Canola/Extra Virgin Olive Oil, Green Bell Pepper, Bay Leaf, Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda (Anti-Caking Agent)], Black Pepper, Eggplant, Zucchini, Tulkoff Garlic in Oil [Garlic, Water, Soybean Oil, Phosphoric Acid. Contains: Naturally Occurring Sulfites], Tomatoes}. Contains: Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Friday: Shepherd's Pie,,X,,,,,,X,,X,X,X,,X,,,,,X,,,,,X,,,,X,,,,,,X,,,,X,X,,,,,,,,,,X,,,"Cross Valley Farms ⅝” Diced Southern Style Potato [Potatoes, Dextrose, Disodium Pyrophosphate (Added to Maintain Color), Potassium Sorbate (Added to Maintain Freshness)], Glenview Farms Unsalted Butter [Pasteurized Cream (Milk), Natural Flavorings. Contains: Milk], Roseli Canola/Extra Virgin Olive Oil, Monarch Mirepoix Vegetable Blend [Onions, Celery, Carrots], Green Peas, Kronos Halal Beef Gyro Cone [Beef, Water, Breadcrumbs, (Bleached Wheat Flour, Water, Salt, & Yeast, May Contain Soybean Oil, Calcium Propionate), Soy Protein Concentrate, Contains Less Than 2% of Salt, Spices, Garlic & Onion Powder, Monosodium Glutamate. Contains Soy and Wheat], Halal Ground Beef (Beef), Black Pepper, Egg}. Contains: Egg, Milk, Soy, Wheat",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Dot's Deli% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upon Request Vegan/Gluten Free Bread,,,,,,X,,X,distilled,,,,,,,,,,,,,,,X,X,,X,X,,,raisin,,,,X,,X,,,,,,,,,,,,,,,"Chef’s Line 3oz Sliced Multigrain Seeded Gluten Free Bread [Water, Gluten Free Flour Blend (Modified Tapioca Starch, Corn Starch, Potato Starch, Brown Rice Flour), Sprouted Grain And Seed Blend (Sprouted Brown Rice Flour, Sprouted Red and White Quinoa, Sprouted White Quinoa Flour, Sprouted Sunflower Seeds, Sprouted Amaranth, Sprouted Amaranth Flour, Sprouted Millet, Gluten Free Sprouted Oats), Sunflower Oil, Psyllium Husk, Cane Sugar, Dextrose, Modified Cellulose, Yeast, Raisin Juice, Pea Hull Fiber, Vinegar, Salt, Rice Bran, Cultured Cane Sugar, Cellulose Gum.].  ",,,,,,,,,,,,,,,,,,,,,,,,
Wheat Hoagie Bun,,,,,,,,X,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rotella 6-7in hinged Wheat Hoagie Bun [Bleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Honey, Coarse Cracked Wheat, Whole Wheat Flour, Yeast, Soybean Oil, Wheat Gluten, Salt, Calcium Propionate (To Retard Spoilage), Wheat Flour, Enzymes, Ascorbic Acid, Calcium Sulfate]. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
White Hoagie Bun,,,,,,X,,X,,,,X,,,,,,,X,,,,,X,X,,,,,,,,,X,,,,,,,X,,,,,,,,,,,"Rotella 5.5” Bratwurst Bun [Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Fully Refined Soybean Oil, Yeast, Granulated Sugar, Wheat Gluten, Salt, Dough Improver (Malted Wheat Flour, Enzymes and 2% or less of Ascorbic Acid), Calcium Propionate (To Retain Freshness), Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin , Folic Acid), contains less than 2% of Enzymes, Yellow Corn Flour, Colors (Turmeric, Paprika), and 2% or less of each of the following: Natural Flavor]. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Sourdough Bread,,,,,,,,X,,,,X,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rotella Italian Bakery Sourdough Bread [Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Yeast, Wheat Flour, Salt, Malted Barley Flour Contains Wheat, Fumaric Acid And 2% or less of each of the following: Acetic Acid, Lactic Acid, Fully Refined Soybean Oil, Granulated Sugar, Wheat Gluten, Calcium Propionate To Retain Freshness, Dough Improver Malted Wheat Flour, Enzymes And 2% or less of Ascorbic Acid]
Contains: Wheat and Soy]",,,,,,,,,,,,,,,,,,,,,,,,
Rye Bread,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chef’s Line Marble Sourdough Rye Bread [Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Rye Flour, Yeast, Wheat Sourdough (Water, Fermented Wheat Flour), Fully Refined Soybean Oil, Rye Sourdough (Water, Fermented Rye Flour, Salt), Wheat Gluten, Granulated Sugar, Sugarcane Molasses, Salt, Whole Caraway Seed, Barley, Dough Improver (Malted Wheat Flour, Enzymes and 2% or Less of Ascorbic Acid), Cultured Wheat Flour.] Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Wheatberry Bread,,,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rotella’s Italian Bakery Vienna Style Wheat Berry Bread [Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Water, Coarse Cracked Wheat, Yeast, Honey, Fully Refined Soybean Oil, Granulated Sugar, Wheat Gluten, Salt, Calcium Propionate (To Retain Freshness), Tapioca, Malt, Dough Improver (Malted Wheat Flour, Enzymes and 2% or less of Ascorbic Acid), Calcium Sulfate, Enzymes, Caramel Color, Ascorbic Acid]. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
French Bread,,,,,,,,X,,,,X,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rotella’s Italian Bakery Cuban Loaf [Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Yeast, Wheat Gluten, Fully Refined Soybean Oil, Salt, Granulated Sugar, Calcium Propionate to Retain Freshness, Dough Improver Malted Wheat Flour, Enzymes and 2% or less of Ascorbic Acid. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Texas Toast,,,,,,X,,,,,,X,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hilltop Hearth Texas Toast [Enriched Wheat Flour (Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, High Fructose Corn Syrup, contains 2% or less of each of the Following: Yeast, Wheat Gluten, Soybean Oil, Salt, Sodium Stearoyl Lactylate, Monoglycerides, Calcium Sulfate, Calcium Peroxide, Soy Lecithin, Enzymes, Calcium Carbonate, Ammonium Sulfate, Calcium Propionate (To Preserve Freshness)]. Contains: Wheat and Soy",,,,,,,,,,,,,,,,,,,,,,,,
Spinach Herb Flour Tortilla,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,X,,,,X,,,,,,,"Yellow 5 Aluminum Lake, #5",,,,,,,"Mission Spinach Herb Flour Tortilla [Enriched Bleached Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Water, Vegetable Shortening (Interesterified and Hydrogenated Soybean Oils, contains 2% or less of: Vital Wheat Gluten, Salt,  Seasoning (Spinach Powder, Onion Powder, Spice, Salt, Garlic Powder, Soybean Oil, Yellow 5 Aluminum Lake, Blue 1 Aluminum Lake, Natural And Artificial Flavor),  Baking Soda, Sodium Acid Pyrophosphate, Cellulose Gum, Fumaric Acid, Distilled Monoglycerides, Enzymes, Dextrose, Artificial Flavors, Propylene Glycol, Yellow 5, Blue 1 And Calcium Propionate And Sorbic Acid (To Maintain Freshness)]. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Tomato Basil Flour Tortilla,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,X,X,,,,,FD&C #6,,,,,,,"Hilltop Hearth Tomato Basil Flour Tortilla [Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Palm Oil, Tomato Powder (Tomato Powder, FDC Yellow #6), Herb Blend (Garlic, Onion, Herbs, Parsley, Basil, Red and Green Bell Pepper and Spice Extractive), contains 2% or less of: Tortilla Mix (Salt, Vital Wheat Gluten, Leavening [Sodium Bicarbonate, Sodium Aluminum Sulfate, Sodium Aluminum Phosphate], Preservative [Calcium Propionate], Dextrose, Dough Conditioners [Monoglycerides, Mono- and Diglycerides, Enzymes and Sodium Metabisulfite], Fumaric Acid, Guar Gum, Sorbic Acid) and Paprika]. Contains: Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Garlic Herb Flour Tortilla,,,,,,,,X,,,,,,,,,,,X,,,spice,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,"Hilltop Hearth Garlic Herb Flour Tortilla [Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Palm Oil, Herb Blend (Garlic, Onion, Herbs, Parsley, Basil, Red and Green Bell Pepper and Spice Extractive), contains 2% or less of: Garlic, Tortilla Mix (Salt, Vital Wheat Gluten, Leavening [Sodium Bicarbonate, Sodium Aluminum Sulfate, Sodium Aluminum Phosphate], Preservative [Calcium Propionate], Dextrose, Dough Conditioners [Monoglycerides, Mono- and Diglycerides, Enzymes and Sodium Metabisulfite], Fumaric Acid, Guar Gum and Sorbic Acid)]. Contains: Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Meats ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,X,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,"Hormel Bread Ready Hickory Smoked Turkey Breast [Turkey Breast Meat, Water, Salt, Sugar, Modified Cornstarch, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite.]",,,,,,,,,,,,,,,,,,,,,,,,
Roast Beef,,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,"Hormel Bread Ready Deli Faced .5oz Sliced Roast Beef: [Chunked and Formed - Caramel Color Added- Rubbed with Rub (Salt, Sugar, Dextrose, Caramel Color, Garlic Powder, Spices, Onion Powder). Ingredients: Boneless Beef Round Roast Eye of Round PFOF, Water, Salt, Carrageenan, Sodium Phosphate, Sugars, Flavoring.]",,,,,,,,,,,,,,,,,,,,,,,,
Ham,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,"Hormel Bread Ready .5oz Sliced Ham [36% of Weight Is Added Ingredients. Cured with Water, Dextrose, Salt, Modified Cornstarch, Corn Syrup, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite.",,,,,,,,,,,,,,,,,,,,,,,,
Chicken Breast,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,"Hormel Natural Choice Sliced Oven Roasted Chicken [Qualifying Statement: Coated with Natural Flavoring. Ingredients: Chicken Breast Meat, Water, Salt, Carrageenan (from seaweed), Turbinado Sugar, Baking Soda, Cultured Celery Powder, Sea Salt.]",,,,,,,,,,,,,,,,,,,,,,,,
Chicken Strips,,,,,,X,,X,distilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,"Tyson Red Label Seasoned Cooked Grilled Chicken Brest Strip {Boneless, Skinless Chicken Breast with Rib Meat, Water, Modified Food Starch, Vinegar, Salt, Sodium Phosphates, Seasoning [Flavors, Maltodextrin, Sugar, Salt, Vegetable Stock (Carrot, Onion, Celery), Garlic Powder].",,,,,,,,,,,,,,,,,,,,,,,,
Beef Pastrami,,,,,,,,,distilled,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,"Metro Deli Beef Bottom Round Natural Uncured Pastrami [Beef, Water, Sea Salt, Vinegar, Turbinado Sugar, Natural Flavoring. Rubbed With: Spices and Garlic.]",,,,,,,,,,,,,,,,,,,,,,,,
Corned Beef,,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,"Hormel Cooked Bottom Round Corned Beef 20% Solution added. [Fully Cooked Cured with Water, Salt, Sugar, Sodium Phosphates, Seasoning (Salt, Flavoring), Sodium Erythorbate, Sodium Nitrite, Flavoring.]",,,,,,,,,,,,,,,,,,,,,,,,
Meatballs,,X,,,,,,X,distilled,X,,,,X,,,,,X,,,,,X,X,,,,,,citric acid,,,,,,,X,,,,,,,,,X,,X,,,"Fontanini Italian Beef/ Pork Meatball [BHA, BHT with Citric Acid Added to Help Protect Flavor, Caramel Color Added. Ingredients: Beef, Pork, Water, Breadcrumbs (Wheat Flour, Salt, and Yeast), Romano Cheese (Pasteurized Cow's Milk, Cheese Cultures, Salt, Enzymes), Ricotta Cheese (Whey, Part Skim Milk, Cream, Vinegar, and Xanthan Gum, Locust Bean Gum, Guar Gum {Stabilizers}, Textured Vegetable Protein (Soy Protein Concentrate, Caramel Color), Liquid Egg Whites, Salt, Dried Garlic, Spices, Parsley, Brown Sugar, Caramel Color, Disodium Inosinate and Disodium Guanylate, BHA, BHT, Citric Acid.]. Contains: Eggs, Soy, Milk, Wheat ",,,,,,,,,,,,,,,,,,,,,,,,
Salami,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,citric acid,,,,,,,X,,,,,,,,,X,,X,,,"Patuxent Farms Pork/Beef Genoa Salami [(BHA, BHT with Citric Acid added to help protect flavor) Pork, Pork Hearts, Beef, Salt, Dextrose, Lactic Acid Starter Culture, Spices, Sodium Ascorbate, Sodium Nitrite, Garlic Powder, BHA, BHT, Citric Acid].", ,  , ,,,,,,,,,,,,,,,,,,,,,
 Bacon,,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,"Wright's Smoked Bacon [Pork (Cured with Water, Salt, Sugar, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite)]",,,,,,,,,,,,,,,,,,,,,,,,
"Tuna (Statement from company: Vegetable Broth consist of two or more of the following: beans, cabbage, carrots, celery, garlic, onions, parsley, peas, potatoes, green or red bell peppers, spinach, or tomatoes. Star-Kist currently uses potato, carrots, or peas and does not use soy in its vegetable broth)",,X,Tuna,,,X,,X,"distilled, cider",,,X,,,,,,,,,,,,,X,,,X,,,citric acid,X,X,X,,,,X,X,X,,X,,,FD&C Yellow #5 & Yellow 5 Lake,,,,,,,"Star-Kist Light Skipjack Chunk Tuna in Water [Light Tuna, Water, Vegetable Broth, Salt. {Statement from company: Vegetable Broth consist of two or more of the following: beans, cabbage, carrots, celery, garlic, onions, parsley, peas, potatoes, green or red bell peppers, spinach, or tomatoes. Star-Kist currently uses potato, carrots, or peas and does not use soy in its vegetable broth}. Contains: fish (Tuna)], Celery, Yellow Onion, Heinz Bread’ N’ Butter Pickles[Fresh Cucumbers, High Fructose Corn Syrup, Distilled White Vinegar, Salt, Spices (Contains Mustard and Celery), Dehydrated Onion, Calcium Chloride, Natural Flavors, Polysorbate 80, FD&C Yellow No. 5,] Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda (Anti-Caking Agent)], Monarch Lemon Pepper Seasoning [Salt, Black Pepper, Citric Acid, Dried Onion, Dried Garlic, Sugar, Silicon Dioxide (to prevent caking), Yellow 5 Lake, Natural Flavor.], Harvest Value Extra Heavy Duty Mayonnaise [Value Heavy Duty Mayonnaise {Soybean Oil, Water, Egg Yolk, Distilled Vinegar, contains less than 2% of Corn Syrup, Salt, Spice, Lemon Juice Concentrate, Calcium Disodium EDTA Added to Protect Flavor. Contains: Eggs, Soybean Oil]. Contains: Eggs, Fin Fish (Tuna), Soybean Oil", , ,,,,,,,,,,,,,,,,,,,,,,
Peanut Butter,,,,,,,,,,,,X,,,peanuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skippy Creamy Peanut Butter [Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil (Cottonseed, Soybean and Rapeseed Oil), Salt]. Contains: Peanuts, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smucker’s Squeeze Bottle Grape Jelly [Grape Juice, High Fructose Corn Syrup, Corn Syrup, Pectin, Citric Acid, Sodium Citrate]",,,,,,,,,,,,,,,,,,,,,,,,
Cheeses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliced American Cheese (1 oz.),,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,citric acid,,,,,,,,,,,,,,,,,,,,,"Glenview Farms Sliced American Cheese [Milk, Cream, Water, Sodium Citrate, Salt, Cheese Culture, Sorbic Acid (Preservative), Citric Acid, Enzymes, Soy Lecithin, color Added. Contains: Soy, Milk",,,,,,,,,,,,,,,,,,,,,,,,
Sliced Swiss American Cheese,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glenview Farms Sliced American Cheese [Milk and Part-Skim Milk, Cream, Water, Sodium Citrate, Salt, Cheese Culture, Citric Acid, Sorbic Acid (Preservative), Enzymes, Soy Lecithin.] Contains: Milk, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Sliced Swiss Cheese (0.75 oz.),,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glenview Farms Swiss Cheese Sliced [Pasteurized Part Skim Milk, Cheese Cultures, Salt, Enzymes.]. Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
Smoked Provolone Sliced (.75oz or 1 slice),,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,citric acid,,,,,,,,,,,,,,,,,,,,,"Roseli Smoked .75oz Provolone Cheese [Smoked Provolone Cheese (Pasteurized Milk, Cheese Cultures, Salt Enzymes, Natural Smoke Flavor).]. Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
